,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
2278,biochar_1950,Unassigned,Unassigned,Unassigned,506_0,Clustered,2,VC_506_0,2,0.4321,0.87921671,0.3799,1,1,1,1.0
2279,biochar_1954,Unassigned,Unassigned,Unassigned,138_0,Clustered,13,VC_138_0,13,0.6267,1.0,0.6267,1,1,1,1.0
2280,biochar_1956,Unassigned,Unassigned,Unassigned,634_0,Clustered,2,VC_634_0,2,0.6631,0.72985431,0.484,1,1,1,1.0
2281,biochar_196,Unassigned,Unassigned,Unassigned,nan,Clustered,4,VC_466_0,4,0.6421,0.99900911,0.6414,1,1,1,1.0
2282,biochar_1969,Unassigned,Unassigned,Unassigned,466_0,Clustered,4,VC_466_0,4,0.6421,0.99900911,0.6414,1,1,1,1.0
2283,biochar_1970,Unassigned,Unassigned,Unassigned,692_0,Clustered,2,VC_692_0,2,0.741,0.5,0.3705,1,1,1,1.0
2284,biochar_1971,Unassigned,Unassigned,Unassigned,155_0,Clustered,11,VC_155_0,11,0.5166,1.0,0.5166,1,1,1,1.0
2285,biochar_1976,Unassigned,Unassigned,Unassigned,216_0,Clustered,4,VC_216_0,4,0.4123,0.99921684,0.412,1,1,1,1.0
2286,biochar_1978,Unassigned,Unassigned,Unassigned,200_0,Clustered,18,VC_200_0,18,0.8339,1.0,0.8339,1,1,1,1.0
2287,biochar_1981,Unassigned,Unassigned,Unassigned,687_0,Clustered,2,VC_687_0,2,0.9666,0.5,0.4833,1,1,1,1.0
2288,biochar_1986,Unassigned,Unassigned,Unassigned,222_0,Clustered,11,VC_222_0,11,0.778,1.0,0.778,1,2,2,0.9636
2289,biochar_1987,Unassigned,Unassigned,Unassigned,9_0,Clustered,4,VC_9_0,4,0.3146,0.99762486,0.3139,1,1,1,1.0
2290,biochar_199,Unassigned,Unassigned,Unassigned,150_0,Clustered,8,VC_150_0,8,0.3074,0.99999563,0.3074,1,1,1,0.9643
2291,biochar_1991,Unassigned,Unassigned,Unassigned,85_0,Clustered,14,VC_85_0,14,0.516,1.0,0.516,1,1,1,1.0
2292,biochar_1993,Unassigned,Unassigned,Unassigned,283_0,Clustered,15,VC_283_0,15,0.8394,0.99999999,0.8394,1,1,1,1.0
2293,biochar_1998,Unassigned,Unassigned,Unassigned,187_0,Clustered,2,VC_187_0,2,0.431,0.91813282,0.3957,1,1,1,1.0
2294,biochar_200,Unassigned,Unassigned,Unassigned,552_0,Clustered,3,VC_552_0,3,0.6921,0.99054823,0.6856,1,1,1,1.0
2295,biochar_2003,Unassigned,Unassigned,Unassigned,184_0,Clustered,13,VC_184_0,13,0.5849,1.0,0.5849,1,1,1,0.9872
2296,biochar_2008,Unassigned,Unassigned,Unassigned,386_0,Clustered,2,VC_386_0,2,0.5521,0.89435023,0.4938,1,1,1,1.0
2297,biochar_2014,Unassigned,Unassigned,Unassigned,564_0,Clustered,3,VC_564_0,3,0.5985,0.9859071,0.59,1,1,1,1.0
2298,biochar_202,Unassigned,Unassigned,Unassigned,385_0,Clustered,3,VC_385_0,3,0.4324,0.99645906,0.4309,1,1,1,1.0
2299,biochar_2020,Unassigned,Unassigned,Unassigned,228_0,Clustered,3,VC_228_0,3,0.2038,0.99709847,0.2032,1,1,1,1.0
2300,biochar_2026,Unassigned,Unassigned,Unassigned,528_0,Clustered,2,VC_528_0,2,0.4246,0.91237788,0.3874,1,1,1,1.0
2301,biochar_203,Unassigned,Unassigned,Unassigned,761_0,Clustered,2,VC_761_0,2,1.0,1.0,1.0,1,1,1,1.0
2302,biochar_2033,Unassigned,Unassigned,Unassigned,436_0,Clustered,6,VC_436_0,6,0.8415,0.99999378,0.8415,1,1,1,1.0
2303,biochar_2034,Unassigned,Unassigned,Unassigned,709_0,Clustered,2,VC_709_0,2,0.7759,0.5,0.3879,1,1,1,1.0
2304,biochar_2039,Unassigned,Unassigned,Unassigned,85_0,Clustered,14,VC_85_0,14,0.516,1.0,0.516,1,1,1,1.0
2305,biochar_2040,Unassigned,Unassigned,Unassigned,150_0,Clustered,8,VC_150_0,8,0.3074,0.99999563,0.3074,1,1,1,0.9643
2306,biochar_2041,Unassigned,Unassigned,Unassigned,449_0,Clustered,3,VC_449_0,3,0.7639,0.97148006,0.7421,1,1,1,1.0
2307,biochar_2043,Unassigned,Unassigned,Unassigned,355_0,Clustered,9,VC_355_0,9,0.9464,0.99999934,0.9464,1,1,1,1.0
2308,biochar_2045,Unassigned,Unassigned,Unassigned,184_0,Clustered,13,VC_184_0,13,0.5849,1.0,0.5849,1,1,1,0.9872
2309,biochar_2047,Unassigned,Unassigned,Unassigned,512_0,Clustered,4,VC_512_0,4,0.8017,0.99879268,0.8007,1,1,1,1.0
2310,biochar_2051,Unassigned,Unassigned,Unassigned,782_0,Clustered,2,VC_782_0,2,1.0,1.0,1.0,1,1,1,1.0
2311,biochar_2053,Unassigned,Unassigned,Unassigned,44_0,Clustered,32,VC_44_0,32,0.5828,1.0,0.5828,1,1,1,0.9738
2312,biochar_2056,Unassigned,Unassigned,Unassigned,84_0,Clustered,18,VC_84_0,18,0.4981,1.0,0.4981,1,1,1,0.9935
2313,biochar_2057,Unassigned,Unassigned,Unassigned,302_0,Clustered,3,VC_302_0,3,0.3609,0.99473338,0.359,1,1,1,1.0
2314,biochar_2058,Unassigned,Unassigned,Unassigned,513_0,Clustered,6,VC_513_0,6,0.9196,0.80722668,0.7424,1,1,1,1.0
2315,biochar_2064,Unassigned,Unassigned,Unassigned,290_0,Clustered,5,VC_290_0,5,0.4864,0.99789851,0.4854,1,1,1,1.0
2316,biochar_2069,Unassigned,Unassigned,Unassigned,431_0,Clustered,3,VC_431_0,3,0.0783,0.91501898,0.0716,1,1,1,1.0
2317,biochar_2073,Unassigned,Unassigned,Unassigned,79_0,Clustered,20,VC_79_0,20,0.4909,1.0,0.4909,1,2,2,1.0
2318,biochar_2075,Unassigned,Unassigned,Unassigned,189_0,Clustered,11,VC_189_0,11,0.7022,1.0,0.7022,1,1,1,1.0
2319,biochar_2077,Unassigned,Unassigned,Unassigned,269_0,Clustered,2,VC_269_0,2,0.0971,0.91741592,0.089,1,1,1,1.0
2320,biochar_2079,Unassigned,Unassigned,Unassigned,200_0,Clustered,18,VC_200_0,18,0.8339,1.0,0.8339,1,1,1,1.0
2321,biochar_208,Unassigned,Unassigned,Unassigned,405_0,Clustered,3,VC_405_0,3,0.4192,0.99595737,0.4175,1,1,1,1.0
2322,biochar_2080,Unassigned,Unassigned,Unassigned,536_0,Clustered,3,VC_536_0,3,0.6229,0.95931944,0.5976,1,1,1,1.0
2323,biochar_2082,Unassigned,Unassigned,Unassigned,511_0,Clustered,2,VC_511_0,2,0.3947,0.92263554,0.3642,1,1,1,1.0
2324,biochar_2084,Unassigned,Unassigned,Unassigned,608_0,Clustered,2,VC_608_0,2,0.1791,0.81445332,0.1459,1,1,1,1.0
2325,biochar_2087,Unassigned,Unassigned,Unassigned,711_0,Clustered,2,VC_711_0,2,0.7918,0.72985431,0.5779,1,1,1,1.0
2326,biochar_2091,Unassigned,Unassigned,Unassigned,91_0,Clustered,4,VC_91_0,4,0.3882,0.99996606,0.3881,1,1,1,1.0
2327,biochar_2092,Unassigned,Unassigned,Unassigned,285_0,Clustered,3,VC_285_0,3,0.3681,0.99739246,0.3671,1,1,1,1.0
2328,biochar_2093,Unassigned,Unassigned,Unassigned,516_0,Clustered,2,VC_516_0,2,0.762,0.87921671,0.67,1,1,1,1.0
2329,biochar_2095,Unassigned,Unassigned,Unassigned,178_0,Clustered,20,VC_178_0,20,0.7787,1.0,0.7787,1,1,1,0.9474
2330,biochar_21,Unassigned,Unassigned,Unassigned,166_0,Clustered,5,VC_166_0,5,0.31,0.99999987,0.31,1,1,1,0.9
2331,biochar_2100,Unassigned,Unassigned,Unassigned,783_0,Clustered,2,VC_783_0,2,1.0,1.0,1.0,1,1,1,1.0
2332,biochar_2101,Unassigned,Unassigned,Unassigned,784_0,Clustered,2,VC_784_0,2,1.0,1.0,1.0,1,1,1,1.0
2333,biochar_2104,Unassigned,Unassigned,Unassigned,207_0,Clustered,8,VC_207_0,8,0.4877,1.0,0.4877,1,1,1,0.9643
2334,biochar_2108,Unassigned,Unassigned,Unassigned,145_0,Clustered,7,VC_145_0,7,0.2684,0.99999573,0.2684,1,1,1,1.0
2335,biochar_2109,Unassigned,Unassigned,Unassigned,519_0,Clustered,7,VC_519_0,7,1.0,1.0,1.0,1,1,1,1.0
2336,biochar_211,Unassigned,Unassigned,Unassigned,150_0,Clustered,8,VC_150_0,8,0.3074,0.99999563,0.3074,1,1,1,0.9643
2337,biochar_2114,Unassigned,Unassigned,Unassigned,558_0,Clustered,3,VC_558_0,3,0.7806,0.9859071,0.7696,1,1,1,1.0
2338,biochar_2129,Unassigned,Unassigned,Unassigned,388_0,Clustered,8,VC_388_0,8,0.7561,1.0,0.7561,1,1,1,1.0
2339,biochar_2133,Unassigned,Unassigned,Unassigned,222_0,Clustered,11,VC_222_0,11,0.778,1.0,0.778,1,2,2,0.9636
2340,biochar_2135,Unassigned,Unassigned,Unassigned,281_0,Clustered,2,VC_281_0,2,0.0582,0.79660794,0.0463,1,1,1,1.0
2341,biochar_2136,Unassigned,Unassigned,Unassigned,250_0,Clustered,3,VC_250_0,3,0.5943,0.99722387,0.5926,1,1,1,1.0
2342,biochar_2137,Unassigned,Unassigned,Unassigned,429_0,Clustered,2,VC_429_0,2,0.4142,0.91237788,0.3779,1,1,1,1.0
2343,biochar_2141,Unassigned,Unassigned,Unassigned,303_0,Clustered,4,VC_303_0,4,0.3906,0.99411968,0.3883,1,1,1,1.0
2344,biochar_2142,Unassigned,Unassigned,Unassigned,597_0,Clustered,2,VC_597_0,2,0.4579,0.87921671,0.4026,1,1,1,1.0
2345,biochar_2144,Unassigned,Unassigned,Unassigned,785_0,Clustered,2,VC_785_0,2,1.0,1.0,1.0,1,1,1,1.0
2346,biochar_2150,Unassigned,Unassigned,Unassigned,609_0,Clustered,3,VC_609_0,3,0.6575,0.98155579,0.6454,1,1,1,1.0
2347,biochar_2153,Unassigned,Unassigned,Unassigned,402_0,Clustered,3,VC_402_0,3,0.4852,0.99446418,0.4825,1,1,1,1.0
2348,biochar_2158,Unassigned,Unassigned,Unassigned,507_0,Clustered,2,VC_507_0,2,0.5536,0.87921671,0.4867,1,1,1,1.0
2349,biochar_2164,Unassigned,Unassigned,Unassigned,526_0,Clustered,3,VC_526_0,3,0.2283,0.75627335,0.1726,1,1,1,1.0
2350,biochar_2168,Unassigned,Unassigned,Unassigned,691_0,Clustered,2,VC_691_0,2,0.6079,0.5,0.3039,1,1,1,1.0
2351,biochar_2169,Unassigned,Unassigned,Unassigned,712_0,Clustered,2,VC_712_0,2,0.6454,0.72985431,0.471,1,1,1,1.0
2352,biochar_2176,Unassigned,Unassigned,Unassigned,79_0,Clustered,20,VC_79_0,20,0.4909,1.0,0.4909,1,2,2,1.0
2353,biochar_2178,Unassigned,Unassigned,Unassigned,427_0,Clustered,4,VC_427_0,4,0.7297,0.99792228,0.7282,1,1,1,1.0
2354,biochar_2181,Unassigned,Unassigned,Unassigned,165_0,Clustered,11,VC_165_0,11,0.5247,1.0,0.5247,1,1,1,1.0
2355,biochar_2182,Unassigned,Unassigned,Unassigned,596_0,Clustered,3,VC_596_0,3,0.4413,0.97490691,0.4302,1,1,1,1.0
2356,biochar_2184,Unassigned,Unassigned,Unassigned,437_0,Clustered,2,VC_437_0,2,0.0807,0.54941016,0.0443,1,1,1,1.0
2357,biochar_2185,Unassigned,Unassigned,Unassigned,403_0,Clustered,3,VC_403_0,3,0.4236,0.99574134,0.4218,1,1,1,1.0
2358,biochar_2187,Unassigned,Unassigned,Unassigned,607_0,Clustered,3,VC_607_0,3,0.932,0.92554266,0.8626,1,1,1,1.0
2359,biochar_2188,Unassigned,Unassigned,Unassigned,189_0,Clustered,11,VC_189_0,11,0.7022,1.0,0.7022,1,1,1,1.0
2360,biochar_219,Unassigned,Unassigned,Unassigned,79_0,Clustered,20,VC_79_0,20,0.4909,1.0,0.4909,1,2,2,1.0
2361,biochar_2191,Unassigned,Unassigned,Unassigned,265_0,Clustered,2,VC_265_0,2,0.5669,0.85557782,0.4851,1,1,1,1.0
2362,biochar_2192,Unassigned,Unassigned,Unassigned,225_0,Clustered,9,VC_225_0,9,0.5842,1.0,0.5842,1,1,1,1.0
2363,biochar_2193,Unassigned,Unassigned,Unassigned,550_0,Clustered,2,VC_550_0,2,0.1395,0.66873971,0.0933,1,1,1,1.0
2364,biochar_2199,Unassigned,Unassigned,Unassigned,436_0,Clustered,6,VC_436_0,6,0.8415,0.99999378,0.8415,1,1,1,1.0
2365,biochar_22,Unassigned,Unassigned,Unassigned,494_0,Clustered,3,VC_494_0,3,0.5445,0.95335502,0.5191,1,1,1,1.0
2366,biochar_220,Unassigned,Unassigned,Unassigned,196_0,Clustered,9,VC_196_0,9,0.5116,0.99999194,0.5116,1,1,1,1.0
2367,biochar_2200,Unassigned,Unassigned,Unassigned,77_0,Clustered,3,VC_77_0,3,0.2276,0.99828091,0.2272,1,1,1,1.0
2368,biochar_2203,Unassigned,Unassigned,Unassigned,648_0,Clustered,2,VC_648_0,2,0.389,0.81445332,0.3168,1,1,1,1.0
2369,biochar_2214,Unassigned,Unassigned,Unassigned,544_0,Clustered,4,VC_544_0,4,0.8608,0.98480859,0.8478,1,1,1,1.0
2370,biochar_2215,Unassigned,Unassigned,Unassigned,154_0,Clustered,13,VC_154_0,13,0.6447,1.0,0.6447,1,1,1,1.0
2371,biochar_2217,Unassigned,Unassigned,Unassigned,713_0,Clustered,3,VC_713_0,3,1.0,1.0,1.0,1,1,1,1.0
2372,biochar_222,Unassigned,Unassigned,Unassigned,225_0,Clustered,9,VC_225_0,9,0.5842,1.0,0.5842,1,1,1,1.0
2373,biochar_2222,Unassigned,Unassigned,Unassigned,84_0,Clustered,18,VC_84_0,18,0.4981,1.0,0.4981,1,1,1,0.9935
2374,biochar_2229,Unassigned,Unassigned,Unassigned,36_0,Clustered,40,VC_36_0,40,0.6832,1.0,0.6832,3,2,2,0.9859
2375,biochar_2231,Unassigned,Unassigned,Unassigned,714_0,Clustered,2,VC_714_0,2,0.3816,0.72985431,0.2785,1,1,1,1.0
2376,biochar_2232,Unassigned,Unassigned,Unassigned,490_0,Clustered,4,VC_490_0,4,0.8262,0.99910508,0.8255,1,1,1,1.0
2377,biochar_2238,Unassigned,Unassigned,Unassigned,283_0,Clustered,15,VC_283_0,15,0.8394,0.99999999,0.8394,1,1,1,1.0
2378,biochar_2239,Unassigned,Unassigned,Unassigned,604_0,Clustered,4,VC_604_0,4,0.7837,0.97359624,0.763,1,1,1,1.0
2379,biochar_2240,Unassigned,Unassigned,Unassigned,304_1,Clustered,7,VC_304_1,7,0.452,0.5660332,0.2559,1,1,1,0.8571
2380,biochar_2247,Unassigned,Unassigned,Unassigned,332_0,Clustered,2,VC_332_0,2,0.2137,0.93722274,0.2003,1,1,1,1.0
2381,biochar_2250,Unassigned,Unassigned,Unassigned,67_0,Clustered,4,VC_67_0,4,0.3428,0.999978,0.3428,1,1,1,1.0
2382,biochar_2253,Unassigned,Unassigned,Unassigned,265_0,Clustered,2,VC_265_0,2,0.5669,0.85557782,0.4851,1,1,1,1.0
2383,biochar_2256,Unassigned,Unassigned,Unassigned,467_0,Clustered,6,VC_467_0,6,0.6807,0.99999917,0.6807,1,1,1,1.0
2384,biochar_2262,Unassigned,Unassigned,Unassigned,562_0,Clustered,2,VC_562_0,2,0.4961,0.89435023,0.4436,1,1,1,1.0
2385,biochar_2264,Unassigned,Unassigned,Unassigned,517_0,Clustered,4,VC_517_0,4,0.7739,0.99746257,0.772,1,1,1,1.0
2386,biochar_2265,Unassigned,Unassigned,Unassigned,786_0,Clustered,2,VC_786_0,2,1.0,1.0,1.0,1,1,1,1.0
2387,biochar_2267,Unassigned,Unassigned,Unassigned,407_0,Clustered,2,VC_407_0,2,0.2392,0.93555746,0.2238,1,1,1,1.0
2388,biochar_2271,Unassigned,Unassigned,Unassigned,384_0,Clustered,3,VC_384_0,3,0.2627,0.97295865,0.2556,1,1,1,1.0
2389,biochar_2273,Unassigned,Unassigned,Unassigned,499_0,Clustered,4,VC_499_0,4,0.7547,0.99969017,0.7545,1,1,1,1.0
2390,biochar_2278,Unassigned,Unassigned,Unassigned,154_0,Clustered,13,VC_154_0,13,0.6447,1.0,0.6447,1,1,1,1.0
2391,biochar_228,Unassigned,Unassigned,Unassigned,225_0,Clustered,9,VC_225_0,9,0.5842,1.0,0.5842,1,1,1,1.0
2392,biochar_2280,Unassigned,Unassigned,Unassigned,44_0,Clustered,32,VC_44_0,32,0.5828,1.0,0.5828,1,1,1,0.9738
2393,biochar_2284,Unassigned,Unassigned,Unassigned,658_0,Clustered,2,VC_658_0,2,0.4741,0.85557782,0.4056,1,1,1,1.0
2394,biochar_2291,Unassigned,Unassigned,Unassigned,596_0,Clustered,3,VC_596_0,3,0.4413,0.97490691,0.4302,1,1,1,1.0
2395,biochar_2292,Unassigned,Unassigned,Unassigned,387_0,Clustered,2,VC_387_0,2,0.1702,0.92948418,0.1582,1,1,1,1.0
2396,biochar_2295,Unassigned,Unassigned,Unassigned,643_0,Clustered,2,VC_643_0,2,0.7243,0.72985431,0.5286,1,1,1,1.0
2397,biochar_2296,Unassigned,Unassigned,Unassigned,407_0,Clustered,2,VC_407_0,2,0.2392,0.93555746,0.2238,1,1,1,1.0
2398,biochar_2297,Unassigned,Unassigned,Unassigned,371_0,Clustered,2,VC_371_0,2,0.3873,0.93865445,0.3635,1,1,1,1.0
2399,biochar_23,Unassigned,Unassigned,Unassigned,659_0,Clustered,2,VC_659_0,2,0.6467,0.81445332,0.5267,1,1,1,1.0
2400,biochar_230,Unassigned,Unassigned,Unassigned,44_0,Clustered,32,VC_44_0,32,0.5828,1.0,0.5828,1,1,1,0.9738
2401,biochar_2300,Unassigned,Unassigned,Unassigned,648_0,Clustered,2,VC_648_0,2,0.389,0.81445332,0.3168,1,1,1,1.0
2402,biochar_2303,Unassigned,Unassigned,Unassigned,433_0,Clustered,5,VC_433_0,5,0.7022,0.99966311,0.702,1,1,1,1.0
2403,biochar_2305,Unassigned,Unassigned,Unassigned,658_0,Clustered,2,VC_658_0,2,0.4741,0.85557782,0.4056,1,1,1,1.0
2404,biochar_2308,Unassigned,Unassigned,Unassigned,460_0,Clustered,2,VC_460_0,2,0.9337,0.5,0.4669,1,1,1,1.0
2405,biochar_2314,Unassigned,Unassigned,Unassigned,467_0,Clustered,6,VC_467_0,6,0.6807,0.99999917,0.6807,1,1,1,1.0
2406,biochar_2318,Unassigned,Unassigned,Unassigned,400_0,Clustered,2,VC_400_0,2,0.1025,0.71917114,0.0737,1,1,1,1.0
2407,biochar_2321,Unassigned,Unassigned,Unassigned,575_0,Clustered,5,VC_575_0,5,1.0,1.0,1.0,1,2,2,1.0
2408,biochar_2323,Unassigned,Unassigned,Unassigned,538_0,Clustered,3,VC_538_0,3,0.1685,0.91237788,0.1537,1,2,2,1.0
2409,biochar_2326,Unassigned,Unassigned,Unassigned,79_0,Clustered,20,VC_79_0,20,0.4909,1.0,0.4909,1,2,2,1.0
2410,biochar_233,Unassigned,Unassigned,Unassigned,191_0,Clustered,4,VC_191_0,4,0.226,0.99975258,0.2259,1,1,1,1.0
2411,biochar_2335,Unassigned,Unassigned,Unassigned,79_0,Clustered,20,VC_79_0,20,0.4909,1.0,0.4909,1,2,2,1.0
2412,biochar_2338,Unassigned,Unassigned,Unassigned,475_0,Clustered,3,VC_475_0,3,0.5578,0.97359624,0.543,1,1,1,1.0
2413,biochar_2339,Unassigned,Unassigned,Unassigned,128_0,Clustered,7,VC_128_0,7,0.4132,0.99999878,0.4132,1,1,1,1.0
2414,biochar_234,Unassigned,Unassigned,Unassigned,222_0,Clustered,11,VC_222_0,11,0.778,1.0,0.778,1,2,2,0.9636
2415,biochar_2345,Unassigned,Unassigned,Unassigned,343_0,Clustered,2,VC_343_0,2,0.1151,0.86096216,0.0991,1,1,1,1.0
2416,biochar_2346,Unassigned,Unassigned,Unassigned,611_0,Clustered,4,VC_611_0,4,0.8213,0.59870633,0.4917,1,1,1,1.0
2417,biochar_235,Unassigned,Unassigned,Unassigned,126_0,Clustered,8,VC_126_0,8,0.5853,0.99999985,0.5853,1,1,1,0.9643
2418,biochar_2360,Unassigned,Unassigned,Unassigned,498_0,Clustered,2,VC_498_0,2,0.0896,0.68237185,0.0612,1,1,1,1.0
2419,biochar_2361,Unassigned,Unassigned,Unassigned,603_0,Clustered,2,VC_603_0,2,0.5426,0.89435023,0.4853,1,1,1,1.0
2420,biochar_2363,Unassigned,Unassigned,Unassigned,86_0,Clustered,11,VC_86_0,11,0.3759,1.0,0.3759,1,1,1,1.0
2421,biochar_2366,Unassigned,Unassigned,Unassigned,467_0,Clustered,6,VC_467_0,6,0.6807,0.99999917,0.6807,1,1,1,1.0
2422,biochar_2369,Unassigned,Unassigned,Unassigned,483_0,Clustered,2,VC_483_0,2,0.1586,0.5,0.0793,1,1,1,1.0
2423,biochar_2370,Unassigned,Unassigned,Unassigned,201_0,Clustered,2,VC_201_0,2,0.2536,0.94502924,0.2397,1,1,1,1.0
2424,biochar_238,Unassigned,Unassigned,Unassigned,583_0,Clustered,2,VC_583_0,2,0.7328,0.87921671,0.6443,1,1,2,1.0
2425,biochar_2380,Unassigned,Unassigned,Unassigned,611_0,Clustered,4,VC_611_0,4,0.8213,0.59870633,0.4917,1,1,1,1.0
2426,biochar_2385,Unassigned,Unassigned,Unassigned,595_0,Clustered,3,VC_595_0,3,0.9305,0.92554266,0.8612,1,1,1,1.0
2427,biochar_2386,Unassigned,Unassigned,Unassigned,467_0,Clustered,6,VC_467_0,6,0.6807,0.99999917,0.6807,1,1,1,1.0
2428,biochar_2389,Unassigned,Unassigned,Unassigned,715_0,Clustered,3,VC_715_0,3,1.0,1.0,1.0,1,1,1,1.0
2429,biochar_2390,Unassigned,Unassigned,Unassigned,467_0,Clustered,6,VC_467_0,6,0.6807,0.99999917,0.6807,1,1,1,1.0
2430,biochar_2393,Unassigned,Unassigned,Unassigned,787_0,Clustered,2,VC_787_0,2,1.0,1.0,1.0,1,1,1,1.0
2431,biochar_2395,Unassigned,Unassigned,Unassigned,468_0,Clustered,2,VC_468_0,2,0.1816,0.93411407,0.1696,1,1,1,1.0
2432,biochar_2398,Unassigned,Unassigned,Unassigned,354_0,Clustered,4,VC_354_0,4,0.6061,0.99990862,0.606,1,1,1,1.0
2433,biochar_2401,Unassigned,Unassigned,Unassigned,79_0,Clustered,20,VC_79_0,20,0.4909,1.0,0.4909,1,2,2,1.0
2434,biochar_2402,Unassigned,Unassigned,Unassigned,464_0,Clustered,4,VC_464_0,4,0.5797,0.99761502,0.5783,1,1,1,1.0
2435,biochar_2404,Unassigned,Unassigned,Unassigned,358_0,Clustered,6,VC_358_0,6,0.6352,0.99998175,0.6352,1,1,1,1.0
2436,biochar_2405,Unassigned,Unassigned,Unassigned,113_0,Clustered,13,VC_113_0,13,0.6337,1.0,0.6337,1,1,1,1.0
2437,biochar_2408,Unassigned,Unassigned,Unassigned,183_0,Clustered,3,VC_183_0,3,0.2433,0.99504743,0.2421,1,1,1,1.0
2438,biochar_2409,Unassigned,Unassigned,Unassigned,285_0,Clustered,3,VC_285_0,3,0.3681,0.99739246,0.3671,1,1,1,1.0
2439,biochar_241,Unassigned,Unassigned,Unassigned,405_0,Clustered,3,VC_405_0,3,0.4192,0.99595737,0.4175,1,1,1,1.0
2440,biochar_2414,Unassigned,Unassigned,Unassigned,661_0,Clustered,3,VC_661_0,3,0.834,0.5,0.417,1,1,1,1.0
2441,biochar_242,Unassigned,Unassigned,Unassigned,19_0,Clustered,2,VC_19_0,2,0.1737,0.95633597,0.1661,1,1,1,1.0
2442,biochar_2420,Unassigned,Unassigned,Unassigned,436_0,Clustered,6,VC_436_0,6,0.8415,0.99999378,0.8415,1,1,1,1.0
2443,biochar_2421,Unassigned,Unassigned,Unassigned,511_0,Clustered,2,VC_511_0,2,0.3947,0.92263554,0.3642,1,1,1,1.0
2444,biochar_2431,Unassigned,Unassigned,Unassigned,645_0,Clustered,3,VC_645_0,3,0.689,0.613585,0.4228,1,1,1,1.0
2445,biochar_2435,Unassigned,Unassigned,Unassigned,77_0,Clustered,3,VC_77_0,3,0.2276,0.99828091,0.2272,1,1,1,1.0
2446,biochar_2436,Unassigned,Unassigned,Unassigned,642_0,Clustered,3,VC_642_0,3,0.758,0.80676188,0.6115,1,1,1,1.0
2447,biochar_2437,Unassigned,Unassigned,Unassigned,85_0,Clustered,14,VC_85_0,14,0.516,1.0,0.516,1,1,1,1.0
2448,biochar_2438,Unassigned,Unassigned,Unassigned,344_0,Clustered,2,VC_344_0,2,0.1889,0.94461739,0.1784,1,1,1,1.0
2449,biochar_2440,Unassigned,Unassigned,Unassigned,705_0,Clustered,2,VC_705_0,2,0.7575,0.5,0.3787,1,1,1,1.0
2450,biochar_2441,Unassigned,Unassigned,Unassigned,565_0,Clustered,2,VC_565_0,2,0.3927,0.87921671,0.3452,1,1,1,1.0
2451,biochar_2445,Unassigned,Unassigned,Unassigned,707_0,Clustered,2,VC_707_0,2,0.9473,0.5,0.4736,1,1,1,1.0
2452,biochar_2448,Unassigned,Unassigned,Unassigned,716_0,Clustered,2,VC_716_0,2,0.6758,0.5,0.3379,1,1,1,1.0
2453,biochar_2449,Unassigned,Unassigned,Unassigned,196_0,Clustered,9,VC_196_0,9,0.5116,0.99999194,0.5116,1,1,1,1.0
2454,biochar_245,Unassigned,Unassigned,Unassigned,19_0,Clustered,2,VC_19_0,2,0.1737,0.95633597,0.1661,1,1,1,1.0
2455,biochar_2455,Unassigned,Unassigned,Unassigned,279_0,Clustered,2,VC_279_0,2,0.0,1.0,0.0,1,1,1,1.0
2456,biochar_2462,Unassigned,Unassigned,Unassigned,519_0,Clustered,7,VC_519_0,7,1.0,1.0,1.0,1,1,1,1.0
2457,biochar_2473,Unassigned,Unassigned,Unassigned,788_0,Clustered,2,VC_788_0,2,1.0,1.0,1.0,1,1,1,1.0
2458,biochar_2475,Unassigned,Unassigned,Unassigned,401_0,Clustered,2,VC_401_0,2,0.2648,0.92660346,0.2453,1,1,1,1.0
2459,biochar_2476,Unassigned,Unassigned,Unassigned,514_0,Clustered,2,VC_514_0,2,0.3573,0.5,0.1786,1,1,1,1.0
2460,biochar_2478,Unassigned,Unassigned,Unassigned,397_0,Clustered,4,VC_397_0,4,0.7413,0.99973421,0.7411,1,2,2,1.0
2461,biochar_2479,Unassigned,Unassigned,Unassigned,714_0,Clustered,2,VC_714_0,2,0.3816,0.72985431,0.2785,1,1,1,1.0
2462,biochar_248,Unassigned,Unassigned,Unassigned,178_0,Clustered,20,VC_178_0,20,0.7787,1.0,0.7787,1,1,1,0.9474
2463,biochar_2480,Unassigned,Unassigned,Unassigned,200_0,Clustered,18,VC_200_0,18,0.8339,1.0,0.8339,1,1,1,1.0
2464,biochar_2484,Unassigned,Unassigned,Unassigned,558_0,Clustered,3,VC_558_0,3,0.7806,0.9859071,0.7696,1,1,1,1.0
2465,biochar_2485,Unassigned,Unassigned,Unassigned,305_0,Clustered,7,VC_305_0,7,0.6376,0.99995568,0.6376,1,1,1,1.0
2466,biochar_2489,Unassigned,Unassigned,Unassigned,789_0,Clustered,2,VC_789_0,2,1.0,1.0,1.0,1,1,1,1.0
2467,biochar_249,Unassigned,Unassigned,Unassigned,647_0,Clustered,2,VC_647_0,2,0.5254,0.81445332,0.4279,1,1,1,1.0
